method,coverage_percent,coverage_alpha50_percent,valid_pixels,total_pixels,image_id,point_to_input__count,point_to_input__mean_mm,point_to_input__median_mm,point_to_input__p95_mm,point_to_input__rmse_mm,point_to_input__above_30mm_percent,common_all5_point_to_input__count,common_all5_point_to_input__mean_mm,common_all5_point_to_input__median_mm,common_all5_point_to_input__p95_mm,common_all5_point_to_input__rmse_mm,common_all5_point_to_input__above_30mm_percent,own_valid_depth__count,own_valid_depth__mean_mm,own_valid_depth__median_mm,own_valid_depth__p95_mm,own_valid_depth__rmse_mm,own_valid_depth__above_30mm_percent,own_valid_depth__behind_first_surface_gt30mm_percent,own_valid_depth__in_front_of_surface_gt30mm_percent,common_all5_depth__count,common_all5_depth__mean_mm,common_all5_depth__median_mm,common_all5_depth__p95_mm,common_all5_depth__rmse_mm,common_all5_depth__above_30mm_percent,common_all5_depth__behind_first_surface_gt30mm_percent,common_all5_depth__in_front_of_surface_gt30mm_percent,alpha50_own_valid_depth__count,alpha50_own_valid_depth__mean_mm,alpha50_own_valid_depth__median_mm,alpha50_own_valid_depth__p95_mm,alpha50_own_valid_depth__rmse_mm,alpha50_own_valid_depth__above_30mm_percent,alpha50_own_valid_depth__behind_first_surface_gt30mm_percent,alpha50_own_valid_depth__in_front_of_surface_gt30mm_percent,common_all5_alpha50_depth__count,common_all5_alpha50_depth__mean_mm,common_all5_alpha50_depth__median_mm,common_all5_alpha50_depth__p95_mm,common_all5_alpha50_depth__rmse_mm,common_all5_alpha50_depth__above_30mm_percent,common_all5_alpha50_depth__behind_first_surface_gt30mm_percent,common_all5_alpha50_depth__in_front_of_surface_gt30mm_percent,interior_common_all5_depth__count,interior_common_all5_depth__mean_mm,interior_common_all5_depth__median_mm,interior_common_all5_depth__p95_mm,interior_common_all5_depth__rmse_mm,interior_common_all5_depth__above_30mm_percent,interior_common_all5_depth__behind_first_surface_gt30mm_percent,interior_common_all5_depth__in_front_of_surface_gt30mm_percent
method_a_gaussian,100.0,100.0,709120,709120,3376,709120,6.408088550381837,5.551722556805061,10.112984433491896,9.549426546289546,0.9562556407942239,346272,6.764784667004092,5.8543735304878615,10.925789910025362,9.989607509449657,1.1499630348396637,709100,12.04531915057178,4.406541824340804,33.6509816169738,42.08835581083938,5.596389789874489,0.11549851924975321,5.480891270624736,346272,16.316564783920764,5.915091037750231,48.408018493652264,50.51529590195741,9.155230570187598,0.16143378615654747,8.993796784031051,709100,12.04531915057178,4.406541824340804,33.6509816169738,42.08835581083938,5.596389789874489,0.11549851924975321,5.480891270624736,346272,16.316564783920764,5.915091037750231,48.408018493652264,50.51529590195741,9.155230570187598,0.16143378615654747,8.993796784031051,291997,9.00522324073607,4.916357040405384,20.90980873107907,27.42171286858939,2.5092723555378993,0.18698822248173783,2.3222841330561614
method_b_zbuffer,48.83235559566787,48.83235559566787,346280,709120,3376,346280,1.773662685213165,1.6167853756599853,3.5104685921752514,1.993295417602565,0.0,346272,1.7736291743264407,1.6167483459245449,3.510439070535901,1.9932573317186681,0.0,346272,93.06549074776005,23.526724815368773,449.05138664245624,180.69703915293786,48.10293641992422,47.35901256815451,0.7439238517697071,346272,93.06549074776005,23.526724815368773,449.05138664245624,180.69703915293786,48.10293641992422,47.35901256815451,0.7439238517697071,346272,93.06549074776005,23.526724815368773,449.05138664245624,180.69703915293786,48.10293641992422,47.35901256815451,0.7439238517697071,346272,93.06549074776005,23.526724815368773,449.05138664245624,180.69703915293786,48.10293641992422,47.35901256815451,0.7439238517697071,291997,97.80163160098569,34.03758716583249,454.37148818969746,184.4632757065494,51.945396699281154,51.945396699281154,0.0
method_c_first_center_s05,100.0,100.0,709120,709120,3376,709120,14.584752578612408,14.893168544325563,20.653953739625994,15.1140023098727,0.00014101985559566787,346272,13.721875499510437,14.182932151231945,19.92480269991376,14.325281746985414,0.0,709100,32.79664803785088,21.046072244644165,82.79774551391587,66.97405438426783,23.63827386828374,0.0,23.63827386828374,346272,38.5604404508737,22.64930057525627,108.48516817092896,77.67503925550409,33.73504066167637,0.0,33.73504066167637,709100,32.79664803785088,21.046072244644165,82.79774551391587,66.97405438426783,23.63827386828374,0.0,23.63827386828374,346272,38.5604404508737,22.64930057525627,108.48516817092896,77.67503925550409,33.73504066167637,0.0,33.73504066167637,291997,29.30397716564342,20.408063888549766,57.06266250610358,60.921394508460985,24.589293725620468,0.0,24.589293725620468
method_d_first_peak_s05,100.0,100.0,709120,709120,3376,709120,10.963028112216282,11.198996249000883,16.968216288397922,11.581842816480824,0.0,346272,11.148004349937507,11.620405147313713,18.047590561228926,12.012485214869661,0.0,709100,27.628800525373446,14.220956087112436,79.65339679718022,65.34376443455523,17.771682414328023,0.0,17.771682414328023,346272,34.66283647117162,17.5049853324889,106.37559156417852,76.46643711666381,27.996199519452915,0.0,27.996199519452915,709100,27.628800525373446,14.220956087112436,79.65339679718022,65.34376443455523,17.771682414328023,0.0,17.771682414328023,346272,34.66283647117162,17.5049853324889,106.37559156417852,76.46643711666381,27.996199519452915,0.0,27.996199519452915,291997,24.975511284556006,15.086759567260799,52.976706695556715,59.482676263129314,17.998472587047125,0.0,17.998472587047125
method_e_first_peak_s01,98.64959386281589,74.427318366426,699544,709120,3376,699544,4.315736145918894,3.9472362178641145,8.856549941929831,4.871588232718301,0.0,346272,4.987250773702871,4.680630879227066,10.16431812232075,5.664830356089251,0.0,699524,15.205230964083503,2.9774672985076744,87.2446499347686,47.18497385030362,10.510289854243743,5.303177589332175,5.207112264911569,346272,16.01352604754354,3.9498195648193235,51.63753490448004,51.97725588879545,10.533049163663247,1.1490966638942797,9.383952499768968,527767,14.04970753861333,3.275024414062244,47.04322280883767,48.22825193311443,8.624449804553903,1.8400165224426688,6.784433282111236,346272,16.01352604754354,3.9498195648193235,51.63753490448004,51.97725588879545,10.533049163663247,1.1490966638942797,9.383952499768968,291997,8.033966098215828,3.014168739318812,21.14675369262696,27.923798824223354,2.3883807025414647,1.3328904064082852,1.0554902961331796
method_a_gaussian,100.0,100.0,709120,709120,3388,709120,6.29149918657609,5.241249223106245,9.794222184910188,11.29588661792785,1.0871220667870036,295829,6.767692571538792,5.425406265853346,10.166859529782364,13.721114063762647,1.511684114809569,709120,10.549767661428193,3.5830202102661857,24.027162742614742,47.24863942327813,3.829535198555957,0.053305505415162456,3.7762296931407944,295829,14.932747999344043,4.67182922363274,37.41509361267106,62.69309489474076,6.279641279252542,0.02839478212075219,6.251246497131789,709120,10.549767661428193,3.5830202102661857,24.027162742614742,47.24863942327813,3.829535198555957,0.053305505415162456,3.7762296931407944,295829,14.932747999344043,4.67182922363274,37.41509361267106,62.69309489474076,6.279641279252542,0.02839478212075219,6.251246497131789,267678,9.043522500020254,4.186360836028968,19.407318449020355,34.26332580724965,2.327049664148716,0.02017349203147065,2.3068761721172453
method_b_zbuffer,41.71776286101083,41.71776286101083,295829,709120,3388,295829,1.6042601367897333,1.4539806091598988,3.2356165990196266,1.807110282414491,0.0,295829,1.6042601367897333,1.4539806091598988,3.2356165990196266,1.807110282414491,0.0,295829,87.01256156136395,29.439659118652315,386.20490741729685,175.63589818661924,49.72906645393116,49.4322733741452,0.2967930797859574,295829,87.01256156136395,29.439659118652315,386.20490741729685,175.63589818661924,49.72906645393116,49.4322733741452,0.2967930797859574,295829,87.01256156136395,29.439659118652315,386.20490741729685,175.63589818661924,49.72906645393116,49.4322733741452,0.2967930797859574,295829,87.01256156136395,29.439659118652315,386.20490741729685,175.63589818661924,49.72906645393116,49.4322733741452,0.2967930797859574,267678,85.56714160976823,32.36974382400515,369.53406257629257,170.41642257228557,51.2948393218718,51.2948393218718,0.0
method_c_first_center_s05,100.0,100.0,709120,709120,3388,709120,13.657713704332503,13.435741745061476,20.079617636016284,14.16475397640394,0.0007050992779783394,295829,13.0933272277131,12.907862340384485,19.415283715751325,13.599228894817543,0.0,709120,30.073574758181177,17.733145236969005,62.037998104095365,78.43865452947595,18.5384702166065,0.0,18.5384702166065,295829,37.68069126556592,18.928300857544045,93.01062793731685,102.66634467628873,26.19249634079147,0.0,26.19249634079147,709120,30.073574758181177,17.733145236969005,62.037998104095365,78.43865452947595,18.5384702166065,0.0,18.5384702166065,295829,37.68069126556592,18.928300857544045,93.01062793731685,102.66634467628873,26.19249634079147,0.0,26.19249634079147,267678,30.765077001226082,17.69911074638364,54.89184780120832,85.40999442500137,21.006208952547464,0.0,21.006208952547464
method_d_first_peak_s05,100.0,100.0,709120,709120,3388,709120,10.215437649155042,10.267949385567753,16.218281696224597,10.841717333729553,0.0,295829,10.655993751301596,10.914328703750373,17.199764424128425,11.462480093649804,0.0,709120,25.39751864991517,11.928946971893284,59.2874224662778,77.28985890947244,15.009307310469314,0.0,15.009307310469314,295829,34.30913319501683,14.962904930114762,90.91546897888178,101.89411112699112,23.484513012584973,0.0,23.484513012584973,709120,25.39751864991517,11.928946971893284,59.2874224662778,77.28985890947244,15.009307310469314,0.0,15.009307310469314,295829,34.30913319501683,14.962904930114762,90.91546897888178,101.89411112699112,23.484513012584973,0.0,23.484513012584973,267678,27.2441426302214,13.760165214538599,51.42895774841313,84.63320765021702,18.072833777897323,0.0,18.072833777897323
method_e_first_peak_s01,98.37516922382672,70.9700755866426,697598,709120,3388,697598,3.9685996049143935,3.6797772953832353,7.8382400070427165,4.447463110420114,0.0,295829,4.526707953082801,4.281842236163888,9.246656831350787,5.161598500842755,0.0,697598,13.918638861715007,2.7251465320587975,78.74257721900942,52.29977820099682,8.720925232010412,6.134191898485947,2.5867333335244656,295829,14.402765200085698,3.5045452117921094,35.39755668640152,65.08025741622335,6.10352602347978,1.4853175314117277,4.618208492068053,503263,12.54367691439922,2.87230777740477,33.64832296371462,56.507026161438134,5.703578447054522,2.295618791764942,3.4079596552895803,295829,14.402765200085698,3.5045452117921094,35.39755668640152,65.08025741622335,6.10352602347978,1.4853175314117277,4.618208492068053,267678,8.243743229320645,3.0666337013244283,23.251906776428317,34.22125840447969,2.2870762632715427,1.6000567846442368,0.687019478627306
