method,coverage_percent,coverage_alpha50_percent,valid_pixels,total_pixels,point_to_input__count,point_to_input__mean_mm,point_to_input__median_mm,point_to_input__p95_mm,point_to_input__rmse_mm,point_to_input__above_30mm_percent,common_all5_point_to_input__count,common_all5_point_to_input__mean_mm,common_all5_point_to_input__median_mm,common_all5_point_to_input__p95_mm,common_all5_point_to_input__rmse_mm,common_all5_point_to_input__above_30mm_percent,own_valid_depth__count,own_valid_depth__mean_mm,own_valid_depth__median_mm,own_valid_depth__p95_mm,own_valid_depth__rmse_mm,own_valid_depth__above_30mm_percent,own_valid_depth__behind_first_surface_gt30mm_percent,own_valid_depth__in_front_of_surface_gt30mm_percent,common_all5_depth__count,common_all5_depth__mean_mm,common_all5_depth__median_mm,common_all5_depth__p95_mm,common_all5_depth__rmse_mm,common_all5_depth__above_30mm_percent,common_all5_depth__behind_first_surface_gt30mm_percent,common_all5_depth__in_front_of_surface_gt30mm_percent,alpha50_own_valid_depth__count,alpha50_own_valid_depth__mean_mm,alpha50_own_valid_depth__median_mm,alpha50_own_valid_depth__p95_mm,alpha50_own_valid_depth__rmse_mm,alpha50_own_valid_depth__above_30mm_percent,alpha50_own_valid_depth__behind_first_surface_gt30mm_percent,alpha50_own_valid_depth__in_front_of_surface_gt30mm_percent,common_all5_alpha50_depth__count,common_all5_alpha50_depth__mean_mm,common_all5_alpha50_depth__median_mm,common_all5_alpha50_depth__p95_mm,common_all5_alpha50_depth__rmse_mm,common_all5_alpha50_depth__above_30mm_percent,common_all5_alpha50_depth__behind_first_surface_gt30mm_percent,common_all5_alpha50_depth__in_front_of_surface_gt30mm_percent,interior_common_all5_depth__count,interior_common_all5_depth__mean_mm,interior_common_all5_depth__median_mm,interior_common_all5_depth__p95_mm,interior_common_all5_depth__rmse_mm,interior_common_all5_depth__above_30mm_percent,interior_common_all5_depth__behind_first_surface_gt30mm_percent,interior_common_all5_depth__in_front_of_surface_gt30mm_percent
method_a_gaussian,99.97230370036101,99.97230370036101,7089236,7091200,7089236,6.719477292368815,5.594033850606203,12.364370778556562,12.310379993138001,0.8869644063196654,2781085,7.3383006987442645,5.974474163384322,12.615103138553753,15.432043467338994,1.3227571253665387,7088609,13.386667939859104,4.255900382995614,31.68978004455568,72.14358709484164,5.355832152683269,0.1560249690736222,5.199807183609647,2781085,22.018842925011942,5.867635726928722,59.04355163574209,104.89408453475916,10.749977077291776,0.11707660858981297,10.632900468701964,7088609,13.386667939859104,4.255900382995614,31.68978004455568,72.14358709484164,5.355832152683269,0.1560249690736222,5.199807183609647,2781085,22.018842925011942,5.867635726928722,59.04355163574209,104.89408453475916,10.749977077291776,0.11707660858981297,10.632900468701964,2274579,9.943736593207333,4.528864383697484,20.724580097198558,48.08592916815986,2.3410486072367678,0.13004604368544684,2.211002563551321
method_b_zbuffer,39.22094990974729,39.22094990974729,2781236,7091200,2781236,1.8521910511781776,1.575252630714911,4.153611102805674,2.189584415381182,0.0,2781085,1.852163481171999,1.5752143628066797,4.153650791698678,2.189567253450935,0.0,2781085,100.740005179732,15.85615158081044,480.7426879882811,244.59401608504604,44.02181163107205,42.90307559819279,1.118736032879254,2781085,100.740005179732,15.85615158081044,480.7426879882811,244.59401608504604,44.02181163107205,42.90307559819279,1.118736032879254,2781085,100.740005179732,15.85615158081044,480.7426879882811,244.59401608504604,44.02181163107205,42.90307559819279,1.118736032879254,2781085,100.740005179732,15.85615158081044,480.7426879882811,244.59401608504604,44.02181163107205,42.90307559819279,1.118736032879254,2274579,108.57492323229384,25.834542274475012,510.38603563308794,253.2390742683744,48.50137102294534,48.497897852745496,0.003473170199847972
method_c_first_center_s05,99.97925597924188,99.97230370036101,7089729,7091200,7089729,12.536441442538944,13.436715969699819,20.827419856363942,13.740236826913266,0.009718284013394588,2781085,13.212470936513434,13.967876536736389,21.05687985666531,14.256939196428918,0.024199188446235913,7088609,30.984278657140152,17.867269515991158,74.30734939575188,106.70396464712643,20.05662888163249,0.0,20.05662888163249,2781085,46.959062926503925,21.911210060119537,128.59129104614274,152.62120760831834,35.04815566586422,0.0,35.04815566586422,7088609,30.984278657140152,17.867269515991158,74.30734939575188,106.70396464712643,20.05662888163249,0.0,20.05662888163249,2781085,46.959062926503925,21.911210060119537,128.59129104614274,152.62120760831834,35.04815566586422,0.0,35.04815566586422,2274579,30.2944692175673,18.6448850631713,55.3615424156188,101.30863436582005,23.79187533165478,0.0,23.79187533165478
method_d_first_peak_s05,99.97925597924188,99.97230370036101,7089729,7091200,7089729,10.052199120567865,10.180113530473411,17.0011742010592,10.902698173590013,0.0022708907491386485,2781085,11.228404319180587,11.550047176497285,18.93578636278167,12.260017427314992,0.005789107488624044,7088609,27.34460078759309,11.516164302825981,71.38787040710443,105.7044184088829,15.544220311770617,0.0,15.544220311770617,2781085,43.65145605180988,16.59286594390874,125.64692440032942,151.74972749840185,29.608012700079282,0.0,29.608012700079282,7088609,27.34460078759309,11.516164302825981,71.38787040710443,105.7044184088829,15.544220311770617,0.0,15.544220311770617,2781085,43.65145605180988,16.59286594390874,125.64692440032942,151.74972749840185,29.608012700079282,0.0,29.608012700079282,2274579,26.90284076514363,13.386083602905163,51.562258529663204,100.35738513109425,17.66208164236107,0.0,17.66208164236107
method_e_first_peak_s01,97.50688176895306,62.98273916967509,6914408,7091200,6914408,4.172061934221083,3.6585664557779247,9.200172740823314,4.922657488050543,0.0,2781085,5.2573996336761475,4.611910134794579,12.000964166639259,6.321616728531833,0.0,6913724,19.256813116190006,2.5712642669678543,91.0832935333251,78.9058346185613,14.38881563684058,9.618521074893936,4.770294561946644,2781085,23.03476825511017,4.352775573730483,76.67718944549578,108.99491426025365,13.030130326832873,2.522504705897159,10.507625620935714,4465918,18.699768166437867,3.0402472019195326,70.45208368301397,91.58893178624311,10.910589939179358,3.767982305093824,7.142607634085533,2781085,23.03476825511017,4.352775573730483,76.67718944549578,108.99491426025365,13.030130326832873,2.522504705897159,10.507625620935714,2274579,10.051204952382152,2.9803400039671857,24.955978679656987,51.6301816892655,4.074776035477335,3.0434643070212113,1.031311728456123
