method,image_id,coverage_percent,gap_percent,point_mean_mm,point_median_mm,point_p95_mm,point_rmse_mm,own_depth_MAE_mm,common_depth_MAE_mm,common_depth_RMSE_mm,common_behind_gt30mm_percent,own_behind_gt30mm_percent,interior_behind_gt30mm_percent
method_a_gaussian,3202,100.0,0.0,9.070241297587947,6.3740003011507165,14.565958812823453,23.111578927258577,32.416371147316426,44.17341294282594,175.89662105409715,0.09564267182719961,0.10040613718411552,0.07353750879557133
method_b_zbuffer,3202,63.106244359205775,36.893755640794225,2.643126762370946,2.260757859733367,5.8492639524343275,3.10588974752265,137.3205781977022,137.3205781977022,349.57080627043285,30.864203048498435,30.864203048498435,42.09241351491927
method_a_gaussian,3340,99.99971796028882,0.00028203971119133574,6.288514684250442,5.605261154589216,10.276783459209545,8.358348440349108,10.99633009886122,13.522017038175925,41.11364247085423,0.4212428830451905,0.2669633866696,0.2813016180142044
method_b_zbuffer,3340,48.84377820397112,51.15622179602888,1.598822989750795,1.5479338733695969,2.8266163983058923,1.746778027117199,121.31771854357615,121.31771854357615,212.1801137338303,53.568582614419846,53.568582614419846,56.415240299293366
method_a_gaussian,3376,100.0,0.0,6.408088550381837,5.551722556805061,10.112984433491896,9.549426546289546,12.04531915057178,16.316564783920764,50.51529590195741,0.16143378615654747,0.11549851924975321,0.12388177342952753
method_b_zbuffer,3376,48.83235559566787,51.16764440433214,1.773662685213165,1.6167853756599853,3.5104685921752514,1.993295417602565,93.06549074776005,93.06549074776005,180.69703915293786,47.35901256815451,47.35901256815451,51.945396699281154
method_a_gaussian,3388,100.0,0.0,6.29149918657609,5.241249223106245,9.794222184910188,11.29588661792785,10.549767661428193,14.932747999344043,62.69309489474076,0.02839478212075219,0.053305505415162456,0.05133186798756695
method_b_zbuffer,3388,41.71776286101083,58.28223713898917,1.6042601367897333,1.4539806091598988,3.2356165990196266,1.807110282414491,87.01256156136395,87.01256156136395,175.63589818661924,49.4322733741452,49.4322733741452,51.2948393218718
method_a_gaussian,3409,100.0,0.0,5.743398728353557,5.156384531269197,11.685150404449637,7.111472074839677,5.694186262789087,5.222471974773763,18.50488472011041,0.03969829297340214,0.09673962093862816,0.09797859963763698
method_b_zbuffer,3409,21.66896999097473,78.33103000902527,0.9881483798209251,1.0005029597139639,1.55500924961023,1.0486846869386366,67.95541808311614,67.95541808311614,103.24049787046687,55.10253223045836,55.10253223045836,55.27801505525599
method_a_gaussian,3481,100.0,0.0,6.846964388240499,5.501688693612983,17.243618383362048,8.592070966633395,6.1146650742968065,4.683546987522639,9.102240252767867,0.39720345317836053,0.6357175090252708,0.6438277785724503
method_b_zbuffer,3481,9.621361687725631,90.37863831227438,0.8317191296319332,0.8286568361078201,1.3326171194247467,0.8833835773470468,49.04113823145814,49.04113823145814,70.5584112914344,51.3139959253668,51.3139959253668,51.729957805907176
method_a_gaussian,3505,100.0,0.0,7.324107269522624,5.816214483896959,10.554990726681453,16.180421340275448,18.77983108992934,22.85366715868716,91.9794569661392,0.02035235006042104,0.02848601083032491,0.02922778291381934
method_b_zbuffer,3505,55.431379738267154,44.568620261732846,2.0261623698147395,1.9262783221787807,3.8544321225412084,2.2632402497752016,87.51042879749859,87.51042879749859,223.36933907699836,36.122622909114035,36.122622909114035,39.99047092093938
method_a_gaussian,3520,99.7233190433213,0.27668095667870035,5.712169781329357,5.453155186728935,9.163854569475312,6.33392138072485,7.13798066092801,10.972229164410987,19.185383743228993,0.07411554139826065,0.08675555454914709,0.09111431446677727
method_b_zbuffer,3520,35.79027527075812,64.20972472924188,1.6273476057188934,1.500048390763187,3.1394198123592134,1.819450770145085,52.637443570302146,52.637443570302146,91.90092720534794,40.063392441791706,40.063392441791706,43.27279457696134
method_a_gaussian,3571,100.0,0.0,5.945047312392153,5.084321180605416,13.452038271137827,7.309637684915621,4.903291422333768,3.88317857920446,9.170857110684167,0.08970814132104454,0.14651962996389892,0.14704621452456487
method_b_zbuffer,3571,11.475490749097473,88.52450925090253,0.8404329753050395,0.83953575763947,1.3370502747410442,0.8917124400559017,50.267580744853205,50.267580744853205,71.75151257014275,60.49032258064516,60.49032258064516,60.769288370815964
method_a_gaussian,3583,100.0,0.0,7.561953481509705,6.029281422115999,12.567067550754219,14.580748983069093,25.206428625475656,34.19934385315298,164.0836832077877,0.013413137282194693,0.02961416967509025,0.02962486457204767
method_b_zbuffer,3583,55.72188064079422,44.278119359205775,2.124897613250113,1.7908354897925038,4.978427545894531,2.5042116353002584,134.38768345745467,134.38768345745467,361.09580174608135,37.14502638338796,37.14502638338796,46.06562177538556
